Unnamed: 0,fighter_a_name,fighter_b_name,fighter_a_record,fighter_a_height,fighter_a_weight,fighter_a_reach,fighter_a_stance,fighter_a_dob,fighter_b_record,fighter_b_height,fighter_b_weight,fighter_b_reach,fighter_b_stance,fighter_b_dob,date,location,weight_class,victory_method,final_round,finish_time,number_of_rounds,winner,fighter_a_kd,fighter_b_kd,fighter_a_sig_str_landed,fighter_a_sig_str_attempted,fighter_b_sig_str_landed,fighter_b_sig_str_attempted,fighter_a_sig_str_pct,fighter_b_sig_str_pct,fighter_a_total_str_landed,fighter_a_total_str_attempted,fighter_b_total_str_landed,fighter_b_total_str_attempted,fighter_a_td_landed,fighter_a_td_attempted,fighter_b_td_landed,fighter_b_td_attempted,fighter_a_td_pct,fighter_b_td_pct,fighter_a_sub_att,fighter_b_sub_att,fighter_a_rev,fighter_b_rev,fighter_a_ctrl_seconds,fighter_b_ctrl_seconds,fighter_a_kd_01,fighter_b_kd_01,fighter_a_sig_str_landed_01,fighter_a_sig_str_attempted_01,fighter_b_sig_str_landed_01,fighter_b_sig_str_attempted_01,fighter_a_sig_str_pct_01,fighter_b_sig_str_pct_01,fighter_a_total_str_landed_01,fighter_a_total_str_attempted_01,fighter_b_total_str_landed_01,fighter_b_total_str_attempted_01,fighter_a_td_landed_01,fighter_a_td_attempted_01,fighter_b_td_landed_01,fighter_b_td_attempted_01,fighter_a_td_pct_01,fighter_b_td_pct_01,fighter_a_sub_att_01,fighter_b_sub_att_01,fighter_a_rev_01,fighter_b_rev_01,fighter_a_ctrl_seconds_01,fighter_b_ctrl_seconds_01,fighter_a_kd_02,fighter_b_kd_02,fighter_a_sig_str_landed_02,fighter_a_sig_str_attempted_02,fighter_b_sig_str_landed_02,fighter_b_sig_str_attempted_02,fighter_a_sig_str_pct_02,fighter_b_sig_str_pct_02,fighter_a_total_str_landed_02,fighter_a_total_str_attempted_02,fighter_b_total_str_landed_02,fighter_b_total_str_attempted_02,fighter_a_td_landed_02,fighter_a_td_attempted_02,fighter_b_td_landed_02,fighter_b_td_attempted_02,fighter_a_td_pct_02,fighter_b_td_pct_02,fighter_a_sub_att_02,fighter_b_sub_att_02,fighter_a_rev_02,fighter_b_rev_02,fighter_a_ctrl_seconds_02,fighter_b_ctrl_seconds_02,fighter_a_kd_03,fighter_b_kd_03,fighter_a_sig_str_landed_03,fighter_a_sig_str_attempted_03,fighter_b_sig_str_landed_03,fighter_b_sig_str_attempted_03,fighter_a_sig_str_pct_03,fighter_b_sig_str_pct_03,fighter_a_total_str_landed_03,fighter_a_total_str_attempted_03,fighter_b_total_str_landed_03,fighter_b_total_str_attempted_03,fighter_a_td_landed_03,fighter_a_td_attempted_03,fighter_b_td_landed_03,fighter_b_td_attempted_03,fighter_a_td_pct_03,fighter_b_td_pct_03,fighter_a_sub_att_03,fighter_b_sub_att_03,fighter_a_rev_03,fighter_b_rev_03,fighter_a_ctrl_seconds_03,fighter_b_ctrl_seconds_03,fighter_a_kd_04,fighter_b_kd_04,fighter_a_sig_str_landed_04,fighter_a_sig_str_attempted_04,fighter_b_sig_str_landed_04,fighter_b_sig_str_attempted_04,fighter_a_sig_str_pct_04,fighter_b_sig_str_pct_04,fighter_a_total_str_landed_04,fighter_a_total_str_attempted_04,fighter_b_total_str_landed_04,fighter_b_total_str_attempted_04,fighter_a_td_landed_04,fighter_a_td_attempted_04,fighter_b_td_landed_04,fighter_b_td_attempted_04,fighter_a_td_pct_04,fighter_b_td_pct_04,fighter_a_sub_att_04,fighter_b_sub_att_04,fighter_a_rev_04,fighter_b_rev_04,fighter_a_ctrl_seconds_04,fighter_b_ctrl_seconds_04,fighter_a_head_landed,fighter_a_head_attempted,fighter_b_head_landed,fighter_b_head_attempted,fighter_a_body_landed,fighter_a_body_attempted,fighter_b_body_landed,fighter_b_body_attempted,fighter_a_leg_landed,fighter_a_leg_attempted,fighter_b_leg_landed,fighter_b_leg_attempted,fighter_a_distance_landed,fighter_a_distance_attempted,fighter_b_distance_landed,fighter_b_distance_attempted,fighter_a_clinch_landed,fighter_a_clinch_attempted,fighter_b_clinch_landed,fighter_b_clinch_attempted,fighter_a_ground_landed,fighter_a_ground_attempted,fighter_b_ground_landed,fighter_b_ground_attempted,fighter_a_head_landed_01,fighter_a_head_attempted_01,fighter_b_head_landed_01,fighter_b_head_attempted_01,fighter_a_body_landed_01,fighter_a_body_attempted_01,fighter_b_body_landed_01,fighter_b_body_attempted_01,fighter_a_leg_landed_01,fighter_a_leg_attempted_01,fighter_b_leg_landed_01,fighter_b_leg_attempted_01,fighter_a_distance_landed_01,fighter_a_distance_attempted_01,fighter_b_distance_landed_01,fighter_b_distance_attempted_01,fighter_a_clinch_landed_01,fighter_a_clinch_attempted_01,fighter_b_clinch_landed_01,fighter_b_clinch_attempted_01,fighter_a_ground_landed_01,fighter_a_ground_attempted_01,fighter_b_ground_landed_01,fighter_b_ground_attempted_01,fighter_a_head_landed_02,fighter_a_head_attempted_02,fighter_b_head_landed_02,fighter_b_head_attempted_02,fighter_a_body_landed_02,fighter_a_body_attempted_02,fighter_b_body_landed_02,fighter_b_body_attempted_02,fighter_a_leg_landed_02,fighter_a_leg_attempted_02,fighter_b_leg_landed_02,fighter_b_leg_attempted_02,fighter_a_distance_landed_02,fighter_a_distance_attempted_02,fighter_b_distance_landed_02,fighter_b_distance_attempted_02,fighter_a_clinch_landed_02,fighter_a_clinch_attempted_02,fighter_b_clinch_landed_02,fighter_b_clinch_attempted_02,fighter_a_ground_landed_02,fighter_a_ground_attempted_02,fighter_b_ground_landed_02,fighter_b_ground_attempted_02,fighter_a_head_landed_03,fighter_a_head_attempted_03,fighter_b_head_landed_03,fighter_b_head_attempted_03,fighter_a_body_landed_03,fighter_a_body_attempted_03,fighter_b_body_landed_03,fighter_b_body_attempted_03,fighter_a_leg_landed_03,fighter_a_leg_attempted_03,fighter_b_leg_landed_03,fighter_b_leg_attempted_03,fighter_a_distance_landed_03,fighter_a_distance_attempted_03,fighter_b_distance_landed_03,fighter_b_distance_attempted_03,fighter_a_clinch_landed_03,fighter_a_clinch_attempted_03,fighter_b_clinch_landed_03,fighter_b_clinch_attempted_03,fighter_a_ground_landed_03,fighter_a_ground_attempted_03,fighter_b_ground_landed_03,fighter_b_ground_attempted_03,fighter_a_head_landed_04,fighter_a_head_attempted_04,fighter_b_head_landed_04,fighter_b_head_attempted_04,fighter_a_body_landed_04,fighter_a_body_attempted_04,fighter_b_body_landed_04,fighter_b_body_attempted_04,fighter_a_leg_landed_04,fighter_a_leg_attempted_04,fighter_b_leg_landed_04,fighter_b_leg_attempted_04,fighter_a_distance_landed_04,fighter_a_distance_attempted_04,fighter_b_distance_landed_04,fighter_b_distance_attempted_04,fighter_a_clinch_landed_04,fighter_a_clinch_attempted_04,fighter_b_clinch_landed_04,fighter_b_clinch_attempted_04,fighter_a_ground_landed_04,fighter_a_ground_attempted_04,fighter_b_ground_landed_04,fighter_b_ground_attempted_04,fighter_a_kd_05,fighter_b_kd_05,fighter_a_sig_str_landed_05,fighter_a_sig_str_attempted_05,fighter_b_sig_str_landed_05,fighter_b_sig_str_attempted_05,fighter_a_sig_str_pct_05,fighter_b_sig_str_pct_05,fighter_a_total_str_landed_05,fighter_a_total_str_attempted_05,fighter_b_total_str_landed_05,fighter_b_total_str_attempted_05,fighter_a_td_landed_05,fighter_a_td_attempted_05,fighter_b_td_landed_05,fighter_b_td_attempted_05,fighter_a_td_pct_05,fighter_b_td_pct_05,fighter_a_sub_att_05,fighter_b_sub_att_05,fighter_a_rev_05,fighter_b_rev_05,fighter_a_ctrl_seconds_05,fighter_b_ctrl_seconds_05,fighter_a_head_landed_05,fighter_a_head_attempted_05,fighter_b_head_landed_05,fighter_b_head_attempted_05,fighter_a_body_landed_05,fighter_a_body_attempted_05,fighter_b_body_landed_05,fighter_b_body_attempted_05,fighter_a_leg_landed_05,fighter_a_leg_attempted_05,fighter_b_leg_landed_05,fighter_b_leg_attempted_05,fighter_a_distance_landed_05,fighter_a_distance_attempted_05,fighter_b_distance_landed_05,fighter_b_distance_attempted_05,fighter_a_clinch_landed_05,fighter_a_clinch_attempted_05,fighter_b_clinch_landed_05,fighter_b_clinch_attempted_05,fighter_a_ground_landed_05,fighter_a_ground_attempted_05,fighter_b_ground_landed_05,fighter_b_ground_attempted_05,fighter_a_Bantamweight_rank,fighter_b_Bantamweight_rank,fighter_a_Featherweight_rank,fighter_b_Featherweight_rank,fighter_a_Flyweight_rank,fighter_b_Flyweight_rank,fighter_a_Heavyweight_rank,fighter_b_Heavyweight_rank,fighter_a_Light_Heavyweight_rank,fighter_b_Light_Heavyweight_rank,fighter_a_Lightweight_rank,fighter_b_Lightweight_rank,fighter_a_Mens_Pound_for_Pound_rank,fighter_b_Mens_Pound_for_Pound_rank,fighter_a_Middleweight_rank,fighter_b_Middleweight_rank,fighter_a_Pound_for_Pound_rank,fighter_b_Pound_for_Pound_rank,fighter_a_Welterweight_rank,fighter_b_Welterweight_rank,fighter_a_Womens_Bantamweight_rank,fighter_b_Womens_Bantamweight_rank,fighter_a_Womens_Featherweight_rank,fighter_b_Womens_Featherweight_rank,fighter_a_Womens_Flyweight_rank,fighter_b_Womens_Flyweight_rank,fighter_a_Womens_Pound_for_Pound_rank,fighter_b_Womens_Pound_for_Pound_rank,fighter_a_Womens_Strawweight_rank,fighter_b_Womens_Strawweight_rank,fighter_a_fight_weight_rank,fighter_b_fight_weight_rank,better_ranked_fighter,fighter_a_other_rankings,fighter_b_other_rankings,fighter_a_best_other_rank,fighter_b_best_other_rank
0,Roman Dolidze,Anthony Hernandez,15-4-0,74.0,185,76.0,Orthodox,15/07/1988,15-2-0,72.0,185,75.0,Orthodox,18/10/1993,2025-08-09,"Las Vegas, Nevada, USA",Middleweight,Submission,4,2:45,5,b,0,0,36,107,91,152,33.0,59.0,39,110,120,187,0,1,9,11,0.0,81.0,0,1,0,0,45,468,0,0,10,31,19,37,32.0,51.0,13,34,21,39,0,0,2,4,0.0,50.0,0,0,0,0,45,50,0.0,0.0,20.0,52.0,44.0,73.0,38.0,60.0,20.0,52.0,52.0,83.0,0.0,0.0,3.0,3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,4.0,16.0,18.0,27.0,25.0,66.0,4.0,16.0,28.0,38.0,0.0,1.0,3.0,3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,2.0,8.0,10.0,15.0,25.0,66.0,2.0,8.0,19.0,27.0,0.0,0.0,1.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,103.0,25,88,67,128,4,11,6,6,7,8,18,18,34,101,48,102,2,6,13,18,0,0,30,32,5,25,11,29,0,1,1,1,5,5,7,7,9,30,16,34,1,1,3,3,0,0,0,0,15.0,42.0,38.0,67.0,3.0,7.0,2.0,2.0,2.0,3.0,4.0,4.0,19.0,49.0,22.0,47.0,1.0,3.0,7.0,11.0,0.0,0.0,15.0,15.0,3.0,13.0,11.0,20.0,1.0,3.0,2.0,2.0,0.0,0.0,5.0,5.0,4.0,15.0,5.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,14.0,2.0,8.0,7.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,7.0,5.0,8.0,0.0,1.0,3.0,4.0,0.0,0.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,15,16,16,16,16,16,9,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,9,10,fighter_a,1,0,15,16
1,Ode Osbourne,Steve Erceg,13-9-0,67.0,125,73.0,Southpaw,09/01/1992,13-4-0,68.0,125,68.0,Orthodox,27/07/1995,2025-08-09,"Las Vegas, Nevada, USA",Bantamweight,Decision - Unanimous,3,5:00,3,b,0,0,20,53,35,74,37.0,47.0,39,82,47,89,3,10,1,2,30.0,50.0,1,0,0,1,287,69,0,0,3,11,17,32,27.0,53.0,4,14,26,44,1,5,1,1,20.0,100.0,0,0,0,1,66,46,0.0,0.0,11.0,25.0,12.0,25.0,44.0,48.0,18.0,33.0,15.0,28.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,23.0,0.0,0.0,6.0,17.0,6.0,17.0,35.0,35.0,17.0,35.0,6.0,17.0,2.0,2.0,0.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,163.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,10,42,20,53,10,11,4,7,0,0,11,14,12,43,29,68,6,8,1,1,2,2,5,5,2,10,10,21,1,1,0,2,0,0,7,9,2,10,12,27,1,1,0,0,0,0,5,5,4.0,18.0,7.0,19.0,7.0,7.0,2.0,3.0,0.0,0.0,3.0,3.0,6.0,18.0,11.0,24.0,5.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,14.0,3.0,13.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,2.0,4.0,15.0,6.0,17.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,fighter_b,0,1,16,10
2,Angela Hill,Iasmin Lucindo,18-15-0,63.0,115,64.0,Orthodox,12/01/1985,18-6-0,63.0,115,66.0,Orthodox,08/01/2002,2025-08-09,"Las Vegas, Nevada, USA",Women's Strawweight,Decision - Unanimous,3,5:00,3,b,0,0,72,151,64,110,47.0,58.0,100,187,80,129,3,7,0,5,42.0,0.0,0,1,0,0,337,79,0,0,27,68,25,46,39.0,54.0,28,69,26,47,1,3,0,3,33.0,0.0,0,0,0,0,46,33,0.0,0.0,28.0,50.0,31.0,54.0,56.0,57.0,30.0,52.0,38.0,63.0,1.0,3.0,0.0,1.0,33.0,0.0,0.0,1.0,0.0,0.0,56.0,46.0,0.0,0.0,17.0,33.0,8.0,10.0,51.0,80.0,42.0,66.0,16.0,19.0,1.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,56,128,42,84,12,19,19,23,4,4,3,3,57,130,52,92,11,17,12,18,4,4,0,0,19,57,18,38,6,9,5,6,2,2,2,2,22,58,22,41,5,10,3,5,0,0,0,0,21.0,42.0,19.0,39.0,6.0,7.0,11.0,14.0,1.0,1.0,1.0,1.0,22.0,43.0,22.0,41.0,6.0,7.0,9.0,13.0,0.0,0.0,0.0,0.0,16.0,29.0,5.0,7.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,13.0,29.0,8.0,10.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,12,8,12,8,fighter_b,0,0,16,16
3,Christian Rodriguez,Andre Fili,12-4-0,67.0,145,71.0,Orthodox,17/12/1997,25-12-0,71.0,145,74.0,Orthodox,25/06/1990,2025-08-09,"Las Vegas, Nevada, USA",Featherweight,Decision - Split,3,5:00,3,b,0,0,64,182,83,174,35.0,47.0,74,193,95,190,3,5,1,7,60.0,14.0,0,0,0,0,102,95,0,0,22,63,29,64,34.0,45.0,27,68,29,66,0,0,1,3,0.0,33.0,0,0,0,0,0,35,0.0,0.0,23.0,69.0,29.0,56.0,33.0,51.0,23.0,69.0,30.0,57.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,19.0,50.0,25.0,54.0,38.0,46.0,24.0,56.0,36.0,67.0,3.0,4.0,0.0,1.0,75.0,0.0,0.0,0.0,0.0,0.0,102.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,52,164,49,130,6,10,8,13,6,8,26,31,62,179,69,157,2,3,13,16,0,0,1,1,19,56,13,43,1,4,4,6,2,3,12,15,22,63,28,63,0,0,0,0,0,0,1,1,18.0,62.0,17.0,40.0,2.0,3.0,3.0,5.0,3.0,4.0,9.0,11.0,23.0,69.0,27.0,54.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,46.0,19.0,47.0,3.0,3.0,1.0,2.0,1.0,1.0,5.0,5.0,17.0,47.0,14.0,40.0,2.0,3.0,11.0,14.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,fighter_b,0,0,16,16
4,Jean Matsumoto,Miles Johns,17-1-0,66.0,135,68.0,Orthodox,09/09/1999,15-4-0,67.0,135,68.0,Orthodox,30/03/1994,2025-08-09,"Las Vegas, Nevada, USA",Bantamweight,Decision - Split,3,5:00,3,a,0,0,83,184,95,233,45.0,40.0,89,191,109,249,5,8,0,3,62.0,0.0,0,2,0,1,192,56,0,0,22,42,16,49,52.0,32.0,23,43,20,54,1,2,0,2,50.0,0.0,0,1,0,0,102,22,0.0,0.0,34.0,67.0,35.0,84.0,50.0,41.0,35.0,68.0,39.0,89.0,1.0,3.0,0.0,0.0,33.0,0.0,0.0,1.0,0.0,1.0,26.0,27.0,0.0,0.0,27.0,75.0,44.0,100.0,36.0,44.0,31.0,80.0,50.0,106.0,3.0,3.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,64.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,70,170,49,160,12,13,27,38,1,1,19,35,78,175,87,224,5,8,8,9,0,1,0,0,17,37,8,29,5,5,5,9,0,0,3,11,20,37,15,48,2,4,1,1,0,1,0,0,31.0,63.0,15.0,55.0,3.0,4.0,14.0,19.0,0.0,0.0,6.0,10.0,31.0,63.0,33.0,82.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,22.0,70.0,26.0,76.0,4.0,4.0,8.0,10.0,1.0,1.0,10.0,14.0,27.0,75.0,39.0,94.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,fighter_b,0,0,16,16
5,Christian Leroy Duncan,Eryk Anders,12-2-0,74.0,185,79.0,Switch,24/07/1995,17-9-0,73.0,185,75.0,Southpaw,21/04/1987,2025-08-09,"Las Vegas, Nevada, USA",Middleweight,KO/TKO,1,3:53,3,a,0,1,7,12,24,43,58.0,55.0,18,24,27,46,1,3,0,0,33.0,0.0,0,0,0,0,78,39,0,1,7,12,24,43,58.0,55.0,18,24,27,46,1,3,0,0,33.0,0.0,0,0,0,0,78,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,9,26,4,4,3,4,1,1,12,13,4,9,20,37,3,3,3,3,0,0,1,3,2,7,9,26,4,4,3,4,1,1,12,13,4,9,20,37,3,3,3,3,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,fighter_b,0,0,16,16
6,Julius Walker,Rafael Cerqueira,7-1-0,76.0,205,78.0,Orthodox,16/07/1999,11-3-0,75.0,205,76.0,Southpaw,15/03/1990,2025-08-09,"Las Vegas, Nevada, USA",Light,Decision - Unanimous,3,5:00,3,a,1,0,44,62,19,42,70.0,45.0,96,120,30,54,6,10,0,0,60.0,0.0,0,0,0,0,706,27,0,0,13,22,11,25,59.0,44.0,17,27,12,26,3,4,0,0,75.0,0.0,0,0,0,0,211,18,0.0,0.0,13.0,18.0,1.0,4.0,72.0,25.0,48.0,57.0,6.0,10.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,1.0,0.0,18.0,22.0,7.0,13.0,81.0,53.0,31.0,36.0,12.0,18.0,2.0,5.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,214.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,26,43,15,37,9,10,0,1,9,9,4,4,18,26,19,42,4,9,0,0,22,27,0,0,5,14,7,21,3,3,0,0,5,5,4,4,8,13,11,25,2,5,0,0,3,4,0,0,6.0,11.0,1.0,4.0,5.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,5.0,1.0,4.0,1.0,2.0,0.0,0.0,8.0,11.0,0.0,0.0,15.0,18.0,7.0,12.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,6.0,8.0,7.0,13.0,1.0,2.0,0.0,0.0,11.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,,,0,0,16,16
7,Toshiomi Kazama,Elijah Smith,11-5-0,67.0,135,69.0,Orthodox,15/05/1997,9-1-0,69.0,135,71.0,Orthodox,05/09/2002,2025-08-09,"Las Vegas, Nevada, USA",Bantamweight,KO/TKO,1,4:10,3,b,0,0,37,46,0,0,80.0,0.0,61,74,2,2,0,0,1,1,0.0,100.0,0,1,1,1,229,5,0,0,37,46,0,0,80.0,0.0,61,74,2,2,0,0,1,1,0.0,100.0,0,1,1,1,229,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,44,0,0,2,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,36,43,0,0,35,44,0,0,2,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,36,43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,fighter_b,0,0,16,16
8,Priscila Cachoeira,Joselyne Edwards,13-7-0,67.0,135,65.0,Orthodox,19/08/1988,16-6-0,68.0,135,70.0,Orthodox,29/09/1995,2025-08-09,"Las Vegas, Nevada, USA",Women's Bantamweight,KO/TKO,1,2:24,3,b,1,0,26,44,18,50,59.0,36.0,26,44,18,50,0,2,0,0,0.0,0.0,0,0,0,0,1,0,1,0,26,44,18,50,59.0,36.0,26,44,18,50,0,2,0,0,0.0,0.0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,29,15,47,5,10,1,1,5,5,2,2,24,42,18,50,0,0,0,0,2,2,0,0,16,29,15,47,5,10,1,1,5,5,2,2,24,42,18,50,0,0,0,0,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,16,16,16,16,16,16,16,16,16,14,fighter_b,0,0,16,16
9,Gilbert Urbina,Uros Medic,7-5-0,75.0,170,75.0,Orthodox,05/04/1996,11-3-0,73.0,170,71.0,Southpaw,25/04/1993,2025-08-09,"Las Vegas, Nevada, USA",Welterweight,KO/TKO,1,1:03,3,b,1,1,5,9,5,10,55.0,50.0,6,10,5,10,0,0,0,0,0.0,0.0,0,0,0,0,1,2,1,1,5,9,5,10,55.0,50.0,6,10,5,10,0,0,0,0,0.0,0.0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,3,7,1,1,1,2,0,0,1,1,3,7,5,10,1,1,0,0,1,1,0,0,4,8,3,7,1,1,1,2,0,0,1,1,3,7,5,10,1,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,fighter_b,0,0,16,16
